MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924790,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.5510000,-0.1002989,-0.1119188,-0.1259705
MsgID.LOCAL_VELOCITY,6.5510000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924809,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.8020000,0.1051616,0.1313087,-0.1052485
MsgID.LOCAL_VELOCITY,6.8020000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924806,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.0520000,0.0613046,0.0238105,-0.0752710
MsgID.LOCAL_VELOCITY,7.0520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924799,0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.3020000,-0.0002299,-0.1056747,-0.0441607
MsgID.LOCAL_VELOCITY,7.3020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924796,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.5520000,-0.0366661,0.0339130,-0.0050397
MsgID.LOCAL_VELOCITY,7.5520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924796,-0.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,7.8020000,-0.0375138,0.0534260,0.0286893
MsgID.LOCAL_VELOCITY,7.8020000,0.0000716,-0.0002632,-0.0152196
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924805,-0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1000000
MsgID.LOCAL_POSITION,8.0520000,0.0625491,-0.0007429,0.0439514
MsgID.LOCAL_VELOCITY,8.0520000,0.0012465,-0.0035498,-0.1019441
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924815,-0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1500000
MsgID.LOCAL_POSITION,8.3020000,0.1671244,-0.0022123,0.0269278
MsgID.LOCAL_VELOCITY,8.3020000,-0.0069771,-0.0015448,-0.1535144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924814,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-0.0700000
MsgID.LOCAL_POSITION,8.5520000,0.1612723,-0.0019291,0.0043900
MsgID.LOCAL_VELOCITY,8.5520000,-0.0191689,-0.0003010,-0.0723982
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924810,-0.0090000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,0.0700000
MsgID.LOCAL_POSITION,8.8020000,0.1192209,-0.0019943,0.0092693
MsgID.LOCAL_VELOCITY,8.8020000,-0.0264663,-0.0000482,0.0780391
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,9.0530000,0.0556951,0.0359417,0.0139223
MsgID.LOCAL_VELOCITY,9.0530000,-0.0270000,0.0019836,0.0898027
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924805,-0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,0.0800000
MsgID.LOCAL_POSITION,9.3500000,-0.1199793,-0.0329070,0.0174699
MsgID.LOCAL_VELOCITY,9.3500000,-0.0199647,-0.0001567,0.0680795
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924789,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0600000
MsgID.LOCAL_POSITION,9.6000000,-0.0483313,-0.0954840,0.0079458
MsgID.LOCAL_VELOCITY,9.6000000,0.0083534,-0.0006479,0.0730975
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924795,-0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0700000
MsgID.LOCAL_POSITION,9.8500000,-0.0169473,0.1101760,0.0084642
MsgID.LOCAL_VELOCITY,9.8500000,0.0124148,0.0060000,0.0639853
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924798,-0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,0.0600000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,10.1000000,0.0450052,0.0077128,0.0172700
MsgID.LOCAL_VELOCITY,10.1000000,0.0051268,-0.0008290,0.0221674
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924804,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,10.3500000,0.0089693,-0.1831068,0.0179407
MsgID.LOCAL_VELOCITY,10.3500000,-0.0017434,0.0027948,0.0086192
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924800,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.6010000,-0.0053414,-0.0704917,0.0225333
MsgID.LOCAL_VELOCITY,10.6010000,-0.0028319,0.0184170,-0.1020928
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924799,-0.0220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1000000
MsgID.LOCAL_POSITION,10.8510000,-0.0617669,0.1360739,0.0096294
MsgID.LOCAL_VELOCITY,10.8510000,0.0042730,0.0128520,-0.0332447
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924794,-0.0090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.0300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,11.1010000,-0.2272730,0.2335183,0.0149762
MsgID.LOCAL_VELOCITY,11.1010000,0.0121005,-0.0020998,0.0625648
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924784,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,0.0600000
MsgID.LOCAL_POSITION,11.3510000,-0.2135149,0.2524695,0.0147385
MsgID.LOCAL_VELOCITY,11.3510000,0.0269485,-0.0109106,-0.0145369
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924785,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0100000,-0.0100000
